Date,Open,High,Low,Close,Adj Close,Volume
2019-11-18,0.920000,0.920000,0.790000,0.790000,0.790000,22500
2019-11-19,0.760000,0.854000,0.760000,0.850000,0.850000,29800
2019-11-20,0.750000,0.780000,0.750000,0.780000,0.780000,1500
2019-11-21,0.820000,0.820000,0.794000,0.820000,0.820000,700
2019-11-22,0.850000,0.850000,0.800000,0.821000,0.821000,2800
2019-11-25,0.821000,0.821000,0.821000,0.821000,0.821000,100
2019-11-26,0.850000,0.850000,0.850000,0.850000,0.850000,500
2019-11-27,0.910000,0.910000,0.830000,0.830000,0.830000,1400
2019-11-29,0.975000,0.975000,0.975000,0.975000,0.975000,100
2019-12-02,0.930000,0.930000,0.930000,0.930000,0.930000,300
2019-12-03,0.760000,0.930000,0.760000,0.780000,0.780000,2400
2019-12-04,0.880000,0.950000,0.850000,0.890000,0.890000,5200
2019-12-05,0.950000,0.950000,0.890000,0.890000,0.890000,9000
2019-12-06,0.930000,1.000000,0.892000,0.990000,0.990000,22700
2019-12-09,1.000000,1.030000,0.943000,0.989000,0.989000,15000
2019-12-10,0.989000,1.000000,0.860000,0.936000,0.936000,30100
2019-12-11,0.958000,1.015000,0.884000,1.015000,1.015000,10100
2019-12-12,1.030000,1.030000,0.950000,1.029000,1.029000,5700
2019-12-13,1.030000,1.200000,0.880000,0.950000,0.950000,133300
2019-12-16,0.950000,0.950000,0.880000,0.905000,0.905000,19800
2019-12-17,0.905000,0.905000,0.832000,0.832000,0.832000,6200
2019-12-18,0.815000,0.860000,0.760000,0.760000,0.760000,9000
2019-12-19,0.800000,0.850000,0.771000,0.850000,0.850000,7800
2019-12-20,0.850000,0.850000,0.780000,0.780000,0.780000,1200
2019-12-23,0.900000,0.900000,0.880000,0.880000,0.880000,600
2019-12-24,0.775000,1.240000,0.775000,1.240000,1.240000,64200
2019-12-26,1.280000,1.280000,1.010000,1.050000,1.050000,88700
2019-12-27,1.060000,1.200000,0.950000,1.200000,1.200000,16000
2019-12-30,1.210000,1.250000,1.000000,1.250000,1.250000,61400
2019-12-31,1.040000,1.200000,1.040000,1.200000,1.200000,14000
2020-01-02,1.050000,1.250000,1.050000,1.250000,1.250000,7300
2020-01-03,1.210000,1.490000,1.170000,1.455000,1.455000,80500
2020-01-06,1.490000,1.490000,1.290000,1.425000,1.425000,23400
2020-01-07,1.355000,1.490000,1.290000,1.490000,1.490000,45400
2020-01-08,1.490000,1.490000,1.332000,1.480000,1.480000,8000
2020-01-09,1.480000,1.640000,1.370000,1.640000,1.640000,45300
2020-01-10,1.600000,1.680000,1.600000,1.667000,1.667000,27400
2020-01-13,1.670000,1.670000,1.320000,1.498000,1.498000,15100
2020-01-14,1.500000,1.881000,1.450000,1.755000,1.755000,82100
2020-01-15,1.840000,1.880000,1.520000,1.600000,1.600000,33300
2020-01-16,1.680000,1.730000,1.514000,1.514000,1.514000,35700
2020-01-17,1.723000,1.723000,1.450000,1.500000,1.500000,15300
2020-01-21,1.440000,1.440000,1.330000,1.339000,1.339000,8000
2020-01-22,1.270000,1.521000,1.220000,1.521000,1.521000,15300
2020-01-23,1.530000,1.800000,1.370000,1.500000,1.500000,32200
2020-01-24,1.540000,1.850000,1.384000,1.800000,1.800000,131300
2020-01-27,1.840000,2.450000,1.600000,1.630000,1.630000,498800
2020-01-28,1.710000,1.840000,1.450000,1.500000,1.500000,80000
2020-01-29,1.450000,1.550000,1.360000,1.550000,1.550000,19900
2020-01-30,1.540000,1.540000,1.300000,1.307000,1.307000,47300
2020-01-31,1.411000,1.411000,1.250000,1.280000,1.280000,23600
2020-02-03,1.260000,1.360000,1.250000,1.360000,1.360000,16200
2020-02-04,1.300000,1.330000,1.260000,1.315000,1.315000,6000
2020-02-05,1.320000,1.400000,1.320000,1.400000,1.400000,5100
2020-02-06,1.380000,1.390000,1.250000,1.250000,1.250000,4800
2020-02-07,1.340000,1.347000,1.273000,1.340000,1.340000,2600
2020-02-10,1.270000,1.360000,1.230000,1.333000,1.333000,6000
2020-02-11,1.280000,1.370000,1.280000,1.365000,1.365000,2100
2020-02-12,1.381000,1.412000,1.369000,1.369000,1.369000,1000
2020-02-13,1.353000,1.490000,1.314000,1.436000,1.436000,23600
2020-02-14,1.490000,1.490000,1.400000,1.490000,1.490000,6800
2020-02-18,1.490000,1.496000,1.420000,1.496000,1.496000,24900
